"","TranscriptID","GO.terms","Protein_name","KEGG_ID","moduleColor","MM.p","MM.cor"
"35","XM_022434789.1",""," macrophage mannose receptor 1-like","crg:105329016","blue",2.26651182747428e-05,0.951587315447111
"36","XM_022467038.1",""," uncharacterized","crg:105345686","blue",2.28519205076998e-05,0.951486374297784
"37","XM_022440212.1","GO:0016757"," uncharacterized","crg:105341373;crg:105341371","blue",2.30829431340012e-05,0.951362381770658
"38","XM_022431156.1",""," uncharacterized","crg:105335329","blue",2.80355576530354e-05,0.948902069554347
"39","XM_022462007.1",""," uncharacterized","crg:105347061","blue",3.08604794011291e-05,0.947640656129418
"40","XM_022475218.1",""," perlucin-like","crg:105347932","blue",3.1995842510865e-05,0.94715777891279
"41","XM_022478605.1",""," A disintegrin and metalloproteinase with thrombospondin motifs adt-2-like","crg:105336977","blue",3.25378349853099e-05,0.946931737142062
"42","XM_022475823.1",""," putative universal stress protein SAS1637","crg:105323198","blue",3.25400175442096e-05,0.946930832555107
"43","XM_022451534.1",""," uncharacterized","crg:105317444","blue",3.26696093958001e-05,0.946877202169462
"44","XM_022438721.1",""," perlucin-like protein","crg:105320259","blue",3.34559640101372e-05,0.946555115862797
"45","XM_022488944.1",""," uncharacterized","crg:105342238","blue",3.47809226589785e-05,0.946024895294994
"46","XM_022468543.1","GO:0006629;GO:0009056;GO:0030234;GO:0034641"," ganglioside GM2 activator-like","crg:105320698","blue",3.73296890428386e-05,0.945045661049487
"47","XM_022487647.1","GO:0003674;GO:0006629;GO:0006810;GO:0009056"," uncharacterized","crg:105343298","blue",3.80736345454218e-05,0.944769212187405
"48","XM_022488435.1","GO:0043167"," uncharacterized","crg:105329543","blue",4.82926866054437e-05,0.941324905895267
"49","XM_022468811.1","GO:0043167"," uncharacterized","crg:105338610","blue",4.90873147301933e-05,0.941080601931963
"50","XM_022438566.1","GO:0003674"," complement C1q-like protein 4","crg:105322097","blue",4.96333153441971e-05,0.94091442969899
"51","XM_022477735.1","GO:0005576;GO:0007155;GO:0043167"," mammalian ependymin-related protein 1-like","crg:105318456","blue",5.0790965798067e-05,0.940566533856901
"52","XM_022433810.1",""," multiple epidermal growth factor-like domains protein 6","crg:105342460","blue",5.27901698950502e-05,0.939979318572467
"53","XM_022473452.1",""," countin-1-like","crg:105329180","blue",5.35569200371221e-05,0.939758472443112
"54","XM_022440439.1","GO:0006520;GO:0009058;GO:0016765;GO:0034641"," spermine synthase-like","crg:105341881","blue",5.51613748915616e-05,0.939303810827826
"55","XM_022436060.1",""," uncharacterized transmembrane protein DDB_G0289901-like","crg:105348243","blue",6.26140845597373e-05,0.937311742805196
"56","XM_022432129.1",""," uncharacterized","crg:105340772","blue",6.46647702588174e-05,0.936794614421905
"57","XM_022439588.1","GO:0003674;GO:0006629;GO:0006810;GO:0009056"," uncharacterized","crg:105335906","blue",6.52038961138876e-05,0.936660679433505
"58","XM_022490077.1",""," venom protein 164-like","crg:105317657","blue",7.04843992436387e-05,0.935390297011106
"59","XM_022446355.1",""," fucolectin-like","crg:105330079","blue",7.83451640859137e-05,0.933623650708925
"60","XM_022471193.1","GO:0043167"," uncharacterized","crg:105342156","blue",8.13975952130248e-05,0.932972950076975
"61","XM_022469750.1","GO:0003674"," uncharacterized","crg:105337719","blue",8.47883648875355e-05,0.932270939704918
"62","XM_022466340.1",""," uncharacterized","crg:105339108","blue",9.19106642087664e-05,0.930861361208037
"63","XM_022464189.1",""," uncharacterized","crg:105334201","blue",0.000100714427957277,0.929226468245799
"64","XM_022454466.1",""," uncharacterized","crg:105319775","blue",0.000101352477463514,0.929112146048805
"65","XM_022480600.1",""," cilia- and flagella-associated protein 251-like","crg:105336928","blue",0.000105251660586016,0.928424824867166
"66","XM_022482777.1",""," snaclec B6-like","crg:105324765","blue",0.000110804728426873,0.927477713452393
"67","XM_022458714.1",""," serine protease inhibitor Cvsi-2-like","crg:105347386","blue",0.000111230242171069,0.927406597298918
"68","XM_022437368.1",""," C-type lectin domain family 10 member A-like","crg:105326831","blue",0.00012569741090948,0.925099992066167
"69","XM_022444756.1",""," uncharacterized","crg:105330076","blue",0.000142008669022087,0.922723493551663
"70","XM_022481690.1",""," coiled-coil domain-containing protein 42 homolog","crg:105325972","blue",0.000143251285311781,0.92255087015852
"71","XM_022470580.1",""," periostin-like","crg:105329036","blue",0.000149613018056133,0.921683998081787
"72","XM_022468042.1","GO:0003674"," formin-binding protein 4-like","crg:105337092","blue",0.000150841134472021,0.92151979393472
"73","XM_022437764.1","GO:0016491;GO:0043167"," sorbitol dehydrogenase-like","crg:105324767","blue",0.00016630021054476,0.919532586934005
"74","XM_022462586.1",""," extensin-like","crg:105329750","blue",0.000167624624082044,0.919368770063467
"75","XM_022460520.1",""," uncharacterized","crg:105347067","blue",0.00016808270533598,0.919312331943086
"76","XM_022445339.1",""," uncharacterized","crg:105333446","blue",0.000169870676392799,0.919093122599449
"77","XM_022487872.1",""," jacalin-related lectin 5-like","crg:105348758","blue",0.000175168040981948,0.918453478361915
"78","XM_022479807.1","GO:0003674"," loricrin-like","crg:105346498","blue",0.000180576515150522,0.917814955156242
"79","XM_022468523.1","GO:0043167"," uncharacterized","crg:105324594","blue",0.000183362332658479,0.917491545108153
"80","XM_022488030.1",""," uncharacterized","crg:105321859","blue",0.000189453964746194,0.916796768464516
"81","XM_022438161.1","GO:0016491"," monomeric sarcosine oxidase-like","crg:105340847","blue",0.000189929519347581,0.916743225483409
"82","XM_022435767.1",""," uncharacterized","crg:105347489","blue",0.000193053691798124,0.916393905793815
"83","XM_022474740.1",""," hornerin-like","crg:105318131","blue",0.000202520386790808,0.915360216927726
"84","XM_022459437.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S24-like","crg:105331823;crg:105340909","blue",0.000212432611832792,0.914315323806455
"85","XM_022489653.1",""," prokineticin Bm8-f-like","crg:105343237","blue",0.000215526945235353,0.913996497151956
"86","XM_022467025.1",""," uncharacterized","crg:109620089","blue",0.000215723407219025,0.913976368577614
"87","XM_022481326.1",""," mucin-5AC-like","crg:105347173","blue",0.000216812539565099,0.913865025199497
"88","XM_022490161.1","GO:0003674"," turripeptide Ici9.1-like","crg:105321835","blue",0.000226009969517719,0.912940798406037
"89","XM_022440019.1",""," perlucin-like","crg:105349099","blue",0.000226932969252584,0.91284958608547
"90","XM_022462000.1",""," glycine-rich cell wall structural protein 1-like","crg:105346181","blue",0.000232410208667696,0.912313859251226
"91","XM_022485969.1",""," uncharacterized","crg:105324988","blue",0.000245364513327168,0.91108278881153
"92","XM_022457747.1",""," glycine-rich cell wall structural protein 1-like","crg:105346182","blue",0.00025812376198507,0.909916131199441
"93","XM_022437641.1",""," perlucin-like protein","crg:105326833","blue",0.00027005172709518,0.908863226721365
"94","XM_022445968.1",""," short-chain collagen C4-like","crg:105330242","blue",0.000277668762503855,0.908208620002649
"95","XM_022467660.1","GO:0003674"," complement C1q-like protein 4","crg:105338906","blue",0.000282447136964434,0.907804675836411
"96","XM_022480914.1","GO:0003674;GO:0006629"," pancreatic lipase-related protein 2-like","crg:105329571","blue",0.00029937240148159,0.906413066422889
"97","XM_022489627.1","GO:0005975;GO:0016798"," anti-sigma-I factor RsgI6-like","crg:105327293","blue",0.000318431133153602,0.90491358092573
"98","XM_022464803.1",""," nuclear pore complex protein DDB_G0274915-like","crg:105325857","blue",0.00032518140466456,0.904398304843855
"99","XM_022462930.1",""," ladderlectin-like","crg:105348505;crg:105348503","blue",0.000337402808788313,0.903485035916728
"100","XM_022462919.1",""," pentraxin fusion protein-like","crg:109617151","blue",0.000350233393274668,0.90255200850858
"101","XM_022439032.1",""," perlucin-like","crg:105326831","blue",0.000362467580188808,0.901685429748147
"102","XM_022445054.1",""," perlucin-like","crg:105334952","blue",0.000365738860433302,0.901457360202372
"103","XM_022460362.1",""," uncharacterized","crg:105348676","blue",0.00036759564570968,0.901328572577614
"104","XM_022437813.1","GO:0003674"," uncharacterized","crg:105320257","blue",0.000369211337971698,0.901216895029216
"105","XM_022474507.1",""," uncharacterized","crg:105341536","blue",0.000373281682995872,0.900937131156004
"106","XM_022433990.1","GO:0008233"," transmembrane protease serine 3-like","crg:105317784","blue",0.00038277884630997,0.900292965445948
"107","XM_022467770.1","GO:0006464;GO:0007165;GO:0016301;GO:0043167"," serine/threonine-protein kinase DCLK3-like","crg:105333422","blue",0.000396288849643554,0.899396518785882
"108","XM_022467411.1","GO:0005975;GO:0043167"," alpha-amylase-like","crg:105348751;crg:105348748","blue",0.000425861214844239,0.897509798531854
"109","XM_022461506.1",""," collagen alpha-1(XII) chain-like","crg:105345192","blue",0.000429744219496728,0.897269265435707
"110","XM_022471970.1",""," uncharacterized PE-PGRS family protein PE_PGRS3-like","crg:105327290","blue",0.00044593077341821,0.896283413077964
"111","XM_022458327.1",""," uncharacterized","crg:105346977","blue",0.000477783315396585,0.894417520380265
"112","XM_022478883.1",""," uncharacterized","crg:105338560","blue",0.000479537690385999,0.894317430856621
"113","XM_022453786.1",""," collagen alpha-1(XI) chain-like","crg:105346422","blue",0.000486359999556808,0.893930738744239
"114","XM_022487208.1","GO:0030234"," amyloid beta A4 protein-like","crg:105342828","blue",0.000494459797808898,0.893476761026001
"115","XM_022466146.1","GO:0005622;GO:0006091;GO:0016491;GO:0032991;GO:0055085"," cytochrome b-c1 complex subunit 8-like","crg:105343627","blue",0.000495422109944074,0.893423188059145
"116","XM_022459248.1","GO:0007165;GO:0016491;GO:0043167"," protein FAM13A-like","crg:105323288","blue",0.000507363874162388,0.892764631349318
"117","XM_022488064.1","GO:0003674"," uncharacterized","crg:105330968;crg:105330967","blue",0.000519084345846808,0.89212922102568
"118","XM_022434097.1",""," uncharacterized","crg:105320144","blue",0.000533766145516071,0.891347913753875
"119","XM_022467410.1","GO:0005975;GO:0043167"," alpha-amylase-like","crg:105348751;crg:105348748","blue",0.000549973338084891,0.890503483825774
"120","XM_022475070.1","GO:0007165;GO:0043167"," calmodulin-A-like","crg:105328002","blue",0.000564204231787676,0.889776906811007
"121","XM_022444355.1",""," transforming growth factor-beta-induced protein ig-h3-like","crg:105342522","blue",0.000577422949548439,0.889113920297908
"122","XM_022467245.1",""," uncharacterized","crg:105345051","blue",0.000598650426380096,0.888072106634371
"123","XM_022482813.1",""," uncharacterized","crg:105330967","blue",0.000615374180171967,0.887270191929556
"124","XM_022484575.1",""," uncharacterized","crg:105344974","blue",0.000638248948821659,0.886198734457503
"125","XM_022478036.1",""," uncharacterized","crg:105320097","blue",0.000670041539898286,0.884755218543886
"126","XM_022483619.1",""," uncharacterized","crg:105319517","blue",0.000703027288497357,0.88330948308518
"127","XM_022473579.1",""," probable glycoprotein hormone G-protein coupled receptor","crg:105318132","blue",0.000724935824877536,0.882376417638866
"128","XM_022486451.1",""," uncharacterized","crg:105340544","blue",0.000735400955097979,0.881937969287337
"129","XM_022445262.1","GO:0043167"," tripartite motif-containing protein 45-like","crg:105334309","blue",0.000745997724721194,0.88149862228529
"130","XM_022434933.1","GO:0003674"," uncharacterized","crg:105320257","blue",0.00075318475065425,0.88120323070434
"131","XM_022433341.1","GO:0003674"," uncharacterized","crg:105320257","blue",0.00077199504158862,0.880439734017763
"132","XM_022442223.1",""," hemicentin-1-like","crg:105328788","blue",0.000776371656772155,0.880264040732893
"133","XM_022490010.1",""," uncharacterized","crg:105338188","blue",0.000778406950727584,0.880182582714976
"134","XM_022439024.1",""," perlucin-like protein","crg:105326833","blue",0.000832544252407313,0.878070738225134
"135","XM_022438252.1","GO:0003674"," uncharacterized","crg:105320257","blue",0.000842761783528805,0.87768347676832
"136","XM_022482651.1",""," uncharacterized","crg:105349155","blue",0.000846739776812096,0.877533629964855
"137","XM_022483676.1",""," perlucin-like","crg:105344275","blue",0.000854885383001405,0.87722838793831
"138","XM_022476860.1",""," fibroin heavy chain-like","crg:105330462","blue",0.000856670409292085,0.877161780757671
"139","XM_022481062.1","GO:0008168"," phosphoethanolamine N-methyltransferase 3-like","crg:105346608","blue",0.000863235506571199,0.876917675059187
"140","XM_022435811.1",""," uncharacterized","crg:105318840","blue",0.0009257847735268,0.874657209950914
"141","XM_022462906.1",""," autocrine proliferation repressor protein A-like","crg:105329471","blue",0.00092960085498737,0.874522947414774
"142","XM_022473392.1","GO:0003674"," arylsulfatase B-like","crg:105349073","blue",0.000934739534612419,0.874342784382463
"143","XM_022467480.1","GO:0030234"," kunitz-type U19-barytoxin-Tl1a-like","crg:105336246","blue",0.000942789819982045,0.874061985033899
"144","XM_022435302.1",""," uncharacterized","crg:105331098","blue",0.000958348302394202,0.873524206645514
"145","XM_022464051.1","GO:0030234"," kunitz-type serine protease inhibitor BmKTT-2-like","crg:105329676","blue",0.000969762479553595,0.873133706197857
"146","XM_022446056.1",""," perlucin-like","crg:105322906","blue",0.000996171072762342,0.872242883129926
"147","XM_022481897.1",""," perlucin-like","crg:105319555","blue",0.0009984954314071,0.872165304046048
"148","XM_022446032.1","GO:0003674"," heavy metal-binding protein HIP-like","crg:105337684","blue",0.00101917532399839,0.871480803802723
"149","XM_022474881.1","GO:0006810"," epididymal secretory protein E1-like","crg:105340686","blue",0.00102905862040631,0.871157235008472
"150","XM_022453246.1","GO:0007009;GO:0022607"," caveolin-1-like","crg:105339682","blue",0.00104601139646544,0.87060744753779
"151","XM_022439594.1","GO:0003674;GO:0006629;GO:0006810;GO:0009056"," uncharacterized","crg:105335906","blue",0.00105927463579863,0.87018181785507
"152","XM_022455505.1","GO:0043167"," fibrillin-2-like","crg:105321203","blue",0.00106566128633889,0.869978246537539
"153","XM_022455706.1","GO:0005198;GO:0031012;GO:0043167"," fibrillin-1-like","crg:105330710","blue",0.00106941638235948,0.869858968833118
"154","XM_022477923.1",""," spidroin-1-like","crg:105322805","blue",0.0010732172361427,0.869738547606315
"155","XM_022478282.1",""," lectin BRA-3-like","crg:105346369","blue",0.00109697598065192,0.868992755665179
"156","XM_022432399.1","GO:0005975;GO:0006091;GO:0009056;GO:0009058;GO:0016301;GO:0042592;GO:0043167;GO:0044281"," hexokinase-2-like","crg:105346675","blue",0.00112841850864437,0.868023622234408
"157","XM_022477523.1",""," uncharacterized","crg:105334561","blue",0.0011374014245733,0.867750359531753
"158","XM_022489056.1","GO:0008289"," fatty acid-binding protein, adipocyte-like","crg:105318664","blue",0.0011593216361251,0.867090066929154
"159","XM_022478706.1","GO:0016491;GO:0042592"," glutaredoxin-1-like","crg:105341327","blue",0.00117457727614944,0.866635866621611
"160","XM_022490512.1","GO:0005198;GO:0031012;GO:0043167"," fibrillin-1-like","crg:105321203","blue",0.0011779174739296,0.866536993158947
"161","XM_022455058.1","GO:0043167"," uncharacterized","crg:105337218","blue",0.00119971900630308,0.865896601091729
"162","XM_022431293.1",""," estradiol 17-beta-dehydrogenase 11-like","crg:105342888","blue",0.00120454733245534,0.865755921119874
"163","XM_022473378.1",""," uncharacterized","crg:105338560","blue",0.00124099750615795,0.86470690498853
"164","XM_022445972.1","GO:0016757"," uncharacterized","crg:105317562","blue",0.00124285312664633,0.864654103437363
"165","XM_022472593.1",""," IgGFc-binding protein-like","crg:105345022","blue",0.00125500962957018,0.864309600294445
"166","XM_022467136.1","GO:0003674"," complement C1q-like protein 4","crg:105338904","blue",0.00126139142262684,0.864129716283082
"167","XM_022457211.1",""," WSC domain-containing protein 2-like","crg:105345065","blue",0.00129899510964775,0.86308299180777
"168","XM_022472928.1",""," uncharacterized","crg:105333446","blue",0.00130677658095534,0.862869145207318
"169","XM_022445794.1","GO:0005576;GO:0030234"," elastin-like","crg:105348973","blue",0.00130707033932463,0.862861090418813
"170","XM_022467053.1","GO:0016829;GO:0043167;GO:0044281"," sphingosine-1-phosphate lyase-like","crg:105325808","blue",0.00134315584149391,0.861881477718974
"171","XM_022487515.1",""," uncharacterized","crg:105321833","blue",0.00136254155726445,0.86136308441829
"172","XM_022477528.1",""," thaumatin-like protein 1b","crg:105318618","blue",0.00137319698339381,0.861080424732828
"173","XM_022434309.1",""," uncharacterized","crg:105334201","blue",0.00143234521737691,0.859539675600038
"174","XM_022476128.1","GO:0003674"," inversin-B-like","crg:105347271","blue",0.00145477042763866,0.858967591898599
"175","XM_022455467.1","GO:0003674"," UPF0748 protein YngK-like","crg:105323242","blue",0.00150806396998712,0.857633254652143
"176","XM_022447726.1",""," short-chain collagen C4-like","crg:105336887","blue",0.00155388768234597,0.856513021453462
"177","XM_022489733.1","GO:0003674"," complement C1q-like protein 4","crg:105345375","blue",0.00158183962141076,0.855841406058302
"178","XM_022486015.1",""," uncharacterized","crg:105331936","blue",0.00160959866759104,0.855182885546592
"179","XM_022476137.1",""," enolase-phosphatase E1-like","crg:105337611","blue",0.00162039660394681,0.854928952062674
"180","XM_022480758.1",""," UPF0764 protein C16orf89 homolog","crg:105338493","blue",0.00163621748329569,0.854559099984778
"181","XM_022489428.1","GO:0003674;GO:0007165"," peripheral-type benzodiazepine receptor-associated protein 1-like","crg:105327511","blue",0.00165563330869124,0.854108731663642
"182","XM_022470801.1",""," transforming growth factor-beta-induced protein ig-h3-like","crg:105329036","blue",0.00168262074857106,0.853489044860399
"183","XM_022433002.1","GO:0005975;GO:0016798"," lysozyme 3","crg:105322786","blue",0.00170715651308424,0.852931870970225
"184","XM_022433733.1","GO:0002376;GO:0005618;GO:0006950;GO:0009056;GO:0009058;GO:0016810;GO:0043167;GO:0071554"," peptidoglycan-recognition protein SC2-like","crg:105325079","blue",0.00170837760547822,0.852904293530037
"185","XM_022486453.1","GO:0043167"," uncharacterized","crg:105322486;crg:105323679","blue",0.00172451200735053,0.852541243771969
"186","XM_022445697.1",""," transforming growth factor-beta-induced protein ig-h3-like","crg:105338554","blue",0.0017603423086888,0.851743714669835
"187","XM_022435557.1",""," uncharacterized","crg:105331098","blue",0.0017791602272772,0.85132955477078
"188","XM_022438615.1",""," snaclec B6-like","crg:105324765","blue",0.00178624292260014,0.851174494485371
"189","XM_022435441.1",""," uncharacterized","crg:105323819;crg:105339928","blue",0.00186181047057163,0.84954717676472
"190","XM_022475219.1",""," perlucin-like","crg:105347931","blue",0.00195044962232075,0.8476981725863
"191","XM_022484157.1","GO:0003674"," loricrin-like","crg:105346498","blue",0.00198688209170837,0.846955802524313
"192","XM_022475317.1",""," coadhesin-like","crg:105327984","blue",0.00212047188622714,0.844315092616514
"193","XM_022437843.1",""," perlucin-like protein","crg:105320260","blue",0.00217509348865096,0.843269960627301
"194","XM_022477736.1","GO:0005576;GO:0007155;GO:0043167"," mammalian ependymin-related protein 1-like","crg:105318456","blue",0.00221500320482598,0.842518250970087
"195","XM_022456089.1",""," uncharacterized","crg:105342957","blue",0.00224328228172361,0.841991507322314
"196","XM_022460517.1",""," uncharacterized","crg:105347065","blue",0.00234388000537454,0.84015569754891
"197","XM_022474491.1",""," shematrin-like protein 2","crg:105341947","blue",0.00236088984554494,0.839850933936541
"198","XM_022446369.1",""," uncharacterized","crg:105344468","blue",0.00241842857754323,0.838831617391042
"199","XM_022480034.1","GO:0043167"," L-methionine gamma-lyase-like","crg:105344973","blue",0.00242870106171327,0.838651482515124
"200","XM_022445894.1","GO:0003674"," complement C1q-like protein 4","crg:105319037","blue",0.00244145198287736,0.838428649397184
"201","XM_022464351.1",""," protein FAM47A-like","crg:105335154","blue",0.00249845368605036,0.837442634798082
"202","XM_022490043.1",""," uncharacterized","crg:105340550","blue",0.00251880231045523,0.837094574395334
"203","XM_022442224.1",""," IgGFc-binding protein-like","crg:105328786","blue",0.00254890451204262,0.836583379053305
"204","XM_022434539.1",""," protein O-GlcNAcase-like","crg:105347264","blue",0.00258069648445917,0.83604819144238
"205","XM_022467246.1","GO:0005975;GO:0016798"," trehalase-like","crg:105345011","blue",0.00269489978117555,0.834164009627946
"206","XM_022481882.1","GO:0006520;GO:0016491;GO:0043167"," D-aspartate oxidase-like","crg:105339443","blue",0.00280091739225676,0.832465688716966
"207","XM_022447161.1","GO:0003674;GO:0005576;GO:0008150"," uncharacterized","crg:105317748","blue",0.00284411256383357,0.831786997965823
"208","XM_022486564.1","GO:0043167"," caltractin-like","crg:105341222","blue",0.00287195517168519,0.831353453151413
"209","XM_022433312.1",""," uncharacterized","crg:105320969","blue",0.00288174688510105,0.831201702826049
"210","XM_022438591.1","GO:0003674"," cerebellin-2-like","crg:109617688","blue",0.00309085466810634,0.828046091818998
"211","XM_022442009.1",""," zinc finger CCCH domain-containing protein 13-like","crg:105326108","blue",0.00309457498076173,0.827991359233968
"212","XM_022457492.1","GO:0005575;GO:0008233;GO:0043167"," zinc metalloproteinase nas-6-like","crg:105319688","blue",0.00318962555887943,0.826608762604112
"213","XM_022435106.1",""," low affinity immunoglobulin epsilon Fc receptor-like","crg:105334638","blue",0.00321024150066174,0.826312804023955
"214","XM_022462388.1",""," uncharacterized","crg:105345190","blue",0.00343773541582205,0.823134219361797
"215","XM_022471326.1","GO:0003674;GO:0005575;GO:0007165"," low-density lipoprotein receptor-related protein 4-like","crg:105329031","blue",0.00353811170382849,0.821779667524962
"216","XM_022454161.1","GO:0030234"," kunitz-type serine protease inhibitor textilinin-2-like","crg:105334684","blue",0.00361262246779853,0.820791894936234
"217","XM_022453492.1",""," endoglucanase-like","crg:105335952","blue",0.00368138165782376,0.819893254703397
"218","XM_022447133.1",""," uncharacterized","crg:105319545","blue",0.00380538259292592,0.818302613948559
"219","XM_022445868.1",""," short-chain collagen C4-like","crg:105330242","blue",0.00385735181864613,0.817647013644088
"220","XM_022489606.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S acidic ribosomal protein P2-like","crg:105324897;crg:105340057","blue",0.00389144255858133,0.817220384649093
"221","XM_022456624.1","GO:0003674;GO:0005575;GO:0007165"," deleted in malignant brain tumors 1 protein-like","crg:105326936","blue",0.0039519085736907,0.816470224525769
"222","XM_022430588.1",""," macrophage mannose receptor 1-like","crg:105318797","blue",0.00400226742500748,0.815851708880092
"223","XM_022452068.1",""," uncharacterized protein PB18E9.04c-like","crg:105330551","blue",0.00401779938732746,0.815662068286312
"224","XM_022472614.1","GO:0003674;GO:0005576;GO:0008150"," uncharacterized","crg:105346858","blue",0.0040773139217367,0.814940237823486
"225","XM_022470023.1",""," von Willebrand factor C domain-containing protein 2-like","crg:105327922","blue",0.0042926330773525,0.812390081542087
"226","XM_022461574.1","GO:0007010;GO:0008092;GO:0030674"," fascin-like","crg:105335086","blue",0.00436445137067002,0.811559882875562
"227","XM_022470729.1",""," neurogenic locus Notch protein-like","crg:105323129","blue",0.00438408031636552,0.811334680321618
"228","XM_022442290.1","GO:0043167"," IQ and AAA domain-containing protein 1-like","crg:105342112","blue",0.00444993572865916,0.810584351669289
"229","XM_022478033.1",""," ctenidin-3-like","crg:105341947","blue",0.00454624643979633,0.809501197926621
"230","XM_022433901.1",""," uncharacterized","crg:105319224","blue",0.00454942127175945,0.809465772839659
"231","XM_022461965.1",""," glycine-rich cell wall structural protein-like","crg:105346183","blue",0.00458189011467979,0.809104492950396
"232","XM_022472556.1",""," mucin-2-like","crg:105345685","blue",0.00465428092215147,0.808305542072991
"233","XM_022446722.1","GO:0005975;GO:0016798"," lysozyme 3-like","crg:105322786","blue",0.00465774326391896,0.808267552680359
"234","XM_022484885.1","GO:0003674"," GRB10-interacting GYF protein 2-like","crg:105330258","blue",0.00473250502092368,0.807452132635022
"235","XM_022479599.1",""," glycine-rich cell wall structural protein-like","crg:105341946","blue",0.00474547711910432,0.807311585884501
